Trial:142	Epochs:20	LearningRate:0.03	BatchSize:64
Epoch:0	TrainingLoss:0.79	ValidLoss:0.49	Accuracy:82.52
Epoch:1	TrainingLoss:0.45	ValidLoss:0.49	Accuracy:82.55
Epoch:2	TrainingLoss:0.39	ValidLoss:0.42	Accuracy:84.68
Epoch:3	TrainingLoss:0.36	ValidLoss:0.36	Accuracy:86.10
Epoch:4	TrainingLoss:0.34	ValidLoss:0.36	Accuracy:86.39
Epoch:5	TrainingLoss:0.32	ValidLoss:0.39	Accuracy:85.67
Epoch:6	TrainingLoss:0.31	ValidLoss:0.36	Accuracy:86.58
Epoch:7	TrainingLoss:0.30	ValidLoss:0.36	Accuracy:86.99
Epoch:8	TrainingLoss:0.28	ValidLoss:0.38	Accuracy:86.53
Epoch:9	TrainingLoss:0.28	ValidLoss:0.35	Accuracy:87.83
Epoch:10	TrainingLoss:0.26	ValidLoss:0.33	Accuracy:88.56
Epoch:11	TrainingLoss:0.26	ValidLoss:0.37	Accuracy:87.31
Epoch:12	TrainingLoss:0.25	ValidLoss:0.34	Accuracy:87.92
Epoch:13	TrainingLoss:0.25	ValidLoss:0.34	Accuracy:88.44
Epoch:14	TrainingLoss:0.24	ValidLoss:0.34	Accuracy:88.44
Epoch:15	TrainingLoss:0.24	ValidLoss:0.36	Accuracy:88.10
Epoch:16	TrainingLoss:0.22	ValidLoss:0.39	Accuracy:87.67
Epoch:17	TrainingLoss:0.22	ValidLoss:0.38	Accuracy:87.78
Epoch:18	TrainingLoss:0.22	ValidLoss:0.42	Accuracy:86.99
Epoch:19	TrainingLoss:0.21	ValidLoss:0.39	Accuracy:87.69
TestingAccuracy:87.81
