Trial:149	Epochs:25	LearningRate:0.050	BatchSize:64
Epoch:0	TrainingLoss:0.753	ValidLoss:0.518	Accuracy:80.475
Epoch:1	TrainingLoss:0.432	ValidLoss:0.416	Accuracy:85.125
Epoch:2	TrainingLoss:0.391	ValidLoss:0.420	Accuracy:84.725
Epoch:3	TrainingLoss:0.361	ValidLoss:0.385	Accuracy:86.442
Epoch:4	TrainingLoss:0.340	ValidLoss:0.385	Accuracy:86.192
Epoch:5	TrainingLoss:0.326	ValidLoss:0.362	Accuracy:86.950
Epoch:6	TrainingLoss:0.309	ValidLoss:0.374	Accuracy:86.408
Epoch:7	TrainingLoss:0.300	ValidLoss:0.383	Accuracy:86.433
Epoch:8	TrainingLoss:0.298	ValidLoss:0.368	Accuracy:86.750
Epoch:9	TrainingLoss:0.291	ValidLoss:0.357	Accuracy:87.392
Epoch:10	TrainingLoss:0.288	ValidLoss:0.386	Accuracy:86.608
Epoch:11	TrainingLoss:0.276	ValidLoss:0.374	Accuracy:86.925
Epoch:12	TrainingLoss:0.270	ValidLoss:0.369	Accuracy:88.233
Epoch:13	TrainingLoss:0.264	ValidLoss:0.358	Accuracy:87.642
Epoch:14	TrainingLoss:0.270	ValidLoss:0.398	Accuracy:87.108
Epoch:15	TrainingLoss:0.263	ValidLoss:0.370	Accuracy:87.775
Epoch:16	TrainingLoss:0.269	ValidLoss:0.389	Accuracy:87.067
Epoch:17	TrainingLoss:0.264	ValidLoss:0.377	Accuracy:87.942
Epoch:18	TrainingLoss:0.255	ValidLoss:0.386	Accuracy:87.167
Epoch:19	TrainingLoss:0.270	ValidLoss:0.458	Accuracy:84.650
Epoch:20	TrainingLoss:0.262	ValidLoss:0.390	Accuracy:87.100
Epoch:21	TrainingLoss:0.239	ValidLoss:0.420	Accuracy:87.092
Epoch:22	TrainingLoss:0.245	ValidLoss:0.387	Accuracy:87.808
Epoch:23	TrainingLoss:0.242	ValidLoss:0.454	Accuracy:86.017
Epoch:24	TrainingLoss:0.252	ValidLoss:0.418	Accuracy:86.242
TestingAccuracy:86.64
