Trial:140	Epochs:25	LearningRate:0.01	BatchSize:64
Epoch:0	TrainingLoss:1.04	ValidLoss:0.66	Accuracy:74.17
Epoch:1	TrainingLoss:0.54	ValidLoss:0.52	Accuracy:80.63
Epoch:2	TrainingLoss:0.45	ValidLoss:0.41	Accuracy:84.63
Epoch:3	TrainingLoss:0.40	ValidLoss:0.41	Accuracy:84.74
Epoch:4	TrainingLoss:0.36	ValidLoss:0.37	Accuracy:86.32
Epoch:5	TrainingLoss:0.34	ValidLoss:0.34	Accuracy:87.33
Epoch:6	TrainingLoss:0.32	ValidLoss:0.34	Accuracy:87.51
Epoch:7	TrainingLoss:0.30	ValidLoss:0.34	Accuracy:87.90
Epoch:8	TrainingLoss:0.29	ValidLoss:0.33	Accuracy:88.17
Epoch:9	TrainingLoss:0.28	ValidLoss:0.34	Accuracy:87.44
Epoch:10	TrainingLoss:0.27	ValidLoss:0.33	Accuracy:88.04
Epoch:11	TrainingLoss:0.26	ValidLoss:0.32	Accuracy:88.49
Epoch:12	TrainingLoss:0.25	ValidLoss:0.35	Accuracy:87.84
Epoch:13	TrainingLoss:0.25	ValidLoss:0.34	Accuracy:88.05
Epoch:14	TrainingLoss:0.24	ValidLoss:0.32	Accuracy:88.81
Epoch:15	TrainingLoss:0.23	ValidLoss:0.33	Accuracy:88.67
Epoch:16	TrainingLoss:0.22	ValidLoss:0.33	Accuracy:88.72
Epoch:17	TrainingLoss:0.22	ValidLoss:0.33	Accuracy:88.82
Epoch:18	TrainingLoss:0.21	ValidLoss:0.32	Accuracy:89.18
Epoch:19	TrainingLoss:0.20	ValidLoss:0.34	Accuracy:88.22
Epoch:20	TrainingLoss:0.20	ValidLoss:0.34	Accuracy:88.36
Epoch:21	TrainingLoss:0.20	ValidLoss:0.35	Accuracy:88.24
Epoch:22	TrainingLoss:0.19	ValidLoss:0.35	Accuracy:88.31
Epoch:23	TrainingLoss:0.19	ValidLoss:0.38	Accuracy:87.96
Epoch:24	TrainingLoss:0.18	ValidLoss:0.35	Accuracy:89.18
TestingAccuracy:89.18
