Trial:139	Epochs:50	LearningRate:0.01	BatchSize:64
Epoch:0	TrainingLoss:1.02	ValidLoss:0.57	Accuaracy:79.35
Epoch:1	TrainingLoss:0.53	ValidLoss:0.53	Accuaracy:81.10
Epoch:2	TrainingLoss:0.44	ValidLoss:0.40	Accuaracy:85.70
Epoch:3	TrainingLoss:0.39	ValidLoss:0.42	Accuaracy:85.24
Epoch:4	TrainingLoss:0.35	ValidLoss:0.38	Accuaracy:86.49
Epoch:5	TrainingLoss:0.33	ValidLoss:0.36	Accuaracy:87.42
Epoch:6	TrainingLoss:0.31	ValidLoss:0.36	Accuaracy:87.51
Epoch:7	TrainingLoss:0.30	ValidLoss:0.34	Accuaracy:87.56
Epoch:8	TrainingLoss:0.28	ValidLoss:0.32	Accuaracy:88.76
Epoch:9	TrainingLoss:0.27	ValidLoss:0.33	Accuaracy:88.34
Epoch:10	TrainingLoss:0.26	ValidLoss:0.33	Accuaracy:88.71
Epoch:11	TrainingLoss:0.25	ValidLoss:0.32	Accuaracy:88.75
Epoch:12	TrainingLoss:0.24	ValidLoss:0.31	Accuaracy:88.92
Epoch:13	TrainingLoss:0.23	ValidLoss:0.33	Accuaracy:88.62
Epoch:14	TrainingLoss:0.22	ValidLoss:0.33	Accuaracy:88.73
Epoch:15	TrainingLoss:0.21	ValidLoss:0.35	Accuaracy:88.67
Epoch:16	TrainingLoss:0.21	ValidLoss:0.33	Accuaracy:88.50
Epoch:17	TrainingLoss:0.21	ValidLoss:0.32	Accuaracy:89.04
Epoch:18	TrainingLoss:0.20	ValidLoss:0.34	Accuaracy:88.97
Epoch:19	TrainingLoss:0.19	ValidLoss:0.33	Accuaracy:88.90
Epoch:20	TrainingLoss:0.18	ValidLoss:0.34	Accuaracy:88.99
Epoch:21	TrainingLoss:0.18	ValidLoss:0.38	Accuaracy:88.56
Epoch:22	TrainingLoss:0.17	ValidLoss:0.38	Accuaracy:88.28
Epoch:23	TrainingLoss:0.17	ValidLoss:0.37	Accuaracy:88.28
Epoch:24	TrainingLoss:0.16	ValidLoss:0.36	Accuaracy:88.80
Epoch:25	TrainingLoss:0.15	ValidLoss:0.37	Accuaracy:88.77
Epoch:26	TrainingLoss:0.15	ValidLoss:0.41	Accuaracy:88.68
Epoch:27	TrainingLoss:0.15	ValidLoss:0.38	Accuaracy:88.90
Epoch:28	TrainingLoss:0.14	ValidLoss:0.40	Accuaracy:88.50
Epoch:29	TrainingLoss:0.14	ValidLoss:0.43	Accuaracy:88.92
Epoch:30	TrainingLoss:0.13	ValidLoss:0.45	Accuaracy:87.98
Epoch:31	TrainingLoss:0.14	ValidLoss:0.42	Accuaracy:88.29
Epoch:32	TrainingLoss:0.13	ValidLoss:0.44	Accuaracy:88.00
Epoch:33	TrainingLoss:0.12	ValidLoss:0.45	Accuaracy:88.42
Epoch:34	TrainingLoss:0.13	ValidLoss:0.45	Accuaracy:88.55
Epoch:35	TrainingLoss:0.11	ValidLoss:0.45	Accuaracy:88.61
Epoch:36	TrainingLoss:0.11	ValidLoss:0.46	Accuaracy:88.92
Epoch:37	TrainingLoss:0.11	ValidLoss:0.47	Accuaracy:88.97
Epoch:38	TrainingLoss:0.11	ValidLoss:0.49	Accuaracy:88.38
Epoch:39	TrainingLoss:0.11	ValidLoss:0.52	Accuaracy:87.98
Epoch:40	TrainingLoss:0.10	ValidLoss:0.54	Accuaracy:88.06
Epoch:41	TrainingLoss:0.11	ValidLoss:0.51	Accuaracy:88.04
Epoch:42	TrainingLoss:0.10	ValidLoss:0.51	Accuaracy:88.50
Epoch:43	TrainingLoss:0.10	ValidLoss:0.52	Accuaracy:88.45
Epoch:44	TrainingLoss:0.09	ValidLoss:0.55	Accuaracy:88.53
Epoch:45	TrainingLoss:0.10	ValidLoss:0.58	Accuaracy:88.40
Epoch:46	TrainingLoss:0.10	ValidLoss:0.55	Accuaracy:87.72
Epoch:47	TrainingLoss:0.10	ValidLoss:0.55	Accuaracy:88.38
Epoch:48	TrainingLoss:0.09	ValidLoss:0.57	Accuaracy:88.46
Epoch:49	TrainingLoss:0.09	ValidLoss:0.64	Accuaracy:87.62
TestingAccuracy:87.97
