Trial:144	Epochs:23	LearningRate:0.05	BatchSize:64
Epoch:0	TrainingLoss:0.74	ValidLoss:0.49	Accuracy:81.81
Epoch:1	TrainingLoss:0.42	ValidLoss:0.40	Accuracy:85.33
Epoch:2	TrainingLoss:0.38	ValidLoss:0.39	Accuracy:85.52
Epoch:3	TrainingLoss:0.36	ValidLoss:0.36	Accuracy:86.88
Epoch:4	TrainingLoss:0.34	ValidLoss:0.37	Accuracy:86.92
Epoch:5	TrainingLoss:0.32	ValidLoss:0.35	Accuracy:87.17
Epoch:6	TrainingLoss:0.31	ValidLoss:0.36	Accuracy:87.69
Epoch:7	TrainingLoss:0.30	ValidLoss:0.35	Accuracy:87.41
Epoch:8	TrainingLoss:0.29	ValidLoss:0.38	Accuracy:86.71
Epoch:9	TrainingLoss:0.29	ValidLoss:0.35	Accuracy:87.99
Epoch:10	TrainingLoss:0.28	ValidLoss:0.37	Accuracy:87.72
Epoch:11	TrainingLoss:0.28	ValidLoss:0.37	Accuracy:87.12
Epoch:12	TrainingLoss:0.28	ValidLoss:0.36	Accuracy:87.73
Epoch:13	TrainingLoss:0.27	ValidLoss:0.35	Accuracy:88.40
Epoch:14	TrainingLoss:0.26	ValidLoss:0.36	Accuracy:87.73
Epoch:15	TrainingLoss:0.26	ValidLoss:0.36	Accuracy:87.46
Epoch:16	TrainingLoss:0.26	ValidLoss:0.40	Accuracy:86.22
Epoch:17	TrainingLoss:0.26	ValidLoss:0.39	Accuracy:86.68
Epoch:18	TrainingLoss:0.26	ValidLoss:0.36	Accuracy:88.35
Epoch:19	TrainingLoss:0.26	ValidLoss:0.38	Accuracy:87.99
Epoch:20	TrainingLoss:0.25	ValidLoss:0.36	Accuracy:88.37
Epoch:21	TrainingLoss:0.24	ValidLoss:0.37	Accuracy:88.33
Epoch:22	TrainingLoss:0.25	ValidLoss:0.37	Accuracy:88.29
TestingAccuracy:88.37
